"city","city_ascii","province_id","province_name","lat","lng","population","density","timezone","ranking","postal","id"
"Windsor","Windsor","ON","Ontario","42.2833","-83.0000","276165","1484.3","America/Toronto","2","N8T N8W N8P N8S N8R N8Y N8X N9J N9B N9C N9A N9G N9E N0R","1124261024"
"Saskatoon","Saskatoon","SK","Saskatchewan","52.1333","-106.6833","246376","1080.0","America/Regina","2","S7H S7K S7J S7M S7L S7N S7S S7R S7W S7V","1124612546"
"Longueuil","Longueuil","QC","Quebec","45.5333","-73.5167","239700","2002.0","America/Montreal","2","J4T J4V J4P J4R J4M J4L J4N J4H J4K J4J J4G J3Y J3Z","1124122753"
"Burnaby","Burnaby","BC","British Columbia","49.2667","-122.9667","232755","2568.7","America/Vancouver","2","V5B V5G V5E V5C V5J V5H V5A V3J V3N","1124817304"
"Regina","Regina","SK","Saskatchewan","50.4547","-104.6067","215106","1195.2","America/Regina","2","S4T S4V S4W S4R S4S S4X S4Y S4Z","1124342541"
"Richmond","Richmond","BC","British Columbia","49.1667","-123.1333","198309","1534.1","America/Vancouver","2","V6Y V6X V6W V6V V7E V7A V7B V7C","1124121940"
"Richmond Hill","Richmond Hill","ON","Ontario","43.8667","-79.4333","195022","1928.8","America/Toronto","2","L4S L4C L4B L4E","1124364273"
"Oakville","Oakville","ON","Ontario","43.4500","-79.6833","193832","1314.2","America/Toronto","2","L6M L6L L6H L6K L6J","1124080468"
"Burlington","Burlington","ON","Ontario","43.3167","-79.8000","183314","946.8","America/Toronto","2","L7R L7S L7P L7T L7N L7L L7M","1124955083"
"Barrie","Barrie","ON","Ontario","44.3711","-79.6769","172657","1428.0","America/Toronto","2","L9J L4N L4M","1124340223"
"Oshawa","Oshawa","ON","Ontario","43.9000","-78.8500","166000","1027.0","America/Toronto","2","L1L L1H L1J L1K L1G","1124541904"
"Sherbrooke","Sherbrooke","QC","Quebec","45.4000","-71.9000","161323","456.0","America/Montreal","2","J1N J1L J1M J1J J1K J1H J1G J1E J1C J1R","1124559506"
"Saguenay","Saguenay","QC","Quebec","48.4167","-71.0667","144746","128.5","America/Montreal","2","G8A G7N G7H G7K G7T G7Z G7G G7B G7J G7P G7S G7Y G7X","1124001930"
"Lévis","Levis","QC","Quebec","46.8000","-71.1833","143414","319.4","America/Montreal","2","G7A G6J G6K G6C G6Z G6X G6Y G6V G6W","1124958950"
"Kelowna","Kelowna","BC","British Columbia","49.8881","-119.4956","142146","601.3","America/Vancouver","2","V1X V1Y V1P V1W V1V","1124080626"
"Abbotsford","Abbotsford","BC","British Columbia","49.0500","-122.3167","141397","376.5","America/Vancouver","2","V4X V2S V2T V3G","1124808029"
"Coquitlam","Coquitlam","BC","British Columbia","49.2839","-122.7919","139284","1138.9","America/Vancouver","2","V3B V3C V3E V3J V3K","1124000500"
"Trois-Rivières","Trois-Rivieres","QC","Quebec","46.3500","-72.5500","134413","1581.2","America/Montreal","2","G9C G9B G9A G8T G8V G8W G8Y G8Z","1124407487"
"Guelph","Guelph","ON","Ontario","43.5500","-80.2500","131794","1511.1","America/Toronto","2","N1C N1G N1E N1K N1H N1L","1124968815"
"Cambridge","Cambridge","ON","Ontario","43.3972","-80.3114","129920","1149.6","America/Toronto","2","N3H N3C N3E N1R N1S N1P N1T","1124113576"
"Whitby","Whitby","ON","Ontario","43.8833","-78.9417","128377","876.1","America/Toronto","2","L0B L1P L1R L1M L1N","1124112077"
"Ajax","Ajax","ON","Ontario","43.8583","-79.0364","119677","1634.2","America/Toronto","2","L1Z L1T L1S","1124382916"
"Langley","Langley","BC","British Columbia","49.1044","-122.5827","117285","380.8","America/Vancouver","2","V1M V4W V2Z V2Y V3A","1124000480"
"Saanich","Saanich","BC","British Columbia","48.4840","-123.3810","114148","1099.9","America/Vancouver","2","V8N V8X V8Z V8P V8R V9A V9E V8Y","1124000949"
"Terrebonne","Terrebonne","QC","Quebec","45.7000","-73.6333","111575","687.1","America/Montreal","2","J6Y J6V J7M J6X J6W","1124993674"
"Milton","Milton","ON","Ontario","43.5083","-79.8833","110128","230.11","America/Toronto","2","L7J L0P L9T","1124001426"
"St. John's","St. John's","NL","Newfoundland and Labrador","47.4817","-52.7971","108860.00","244.10","America/St_Johns","2","A1H A1S A1E A1G A1A A1C A1B","1124741456"
"Moncton","Moncton","NB","New Brunswick","46.1328","-64.7714","108620","506.0","America/Moncton","2","E1H E1A E1C E1E E1G","1124521303"
"Thunder Bay","Thunder Bay","ON","Ontario","48.3822","-89.2461","107909","330.1","America/Thunder_Bay","2","P7G P7E P7B P7C P7J P7K","1124398712"
"Dieppe","Dieppe","NB","New Brunswick","46.0989","-64.7242","107068","469.6","America/Moncton","2","E1A","1124195431"
"Waterloo","Waterloo","ON","Ontario","43.4667","-80.5167","104986","1520.7","America/Toronto","2","N2K N2J N2L N2V N2T","1124321390"
"Delta","Delta","BC","British Columbia","49.0847","-123.0586","102238","567.4","America/Vancouver","2","V4C V4E V4G V4K V4M V4L","1124001200"
"Chatham","Chatham","ON","Ontario","42.4229","-82.1324","101647.00","41.40","America/Toronto","2","N8A N0P N7L N7M","1124393373"
"Red Deer","Red Deer","AB","Alberta","52.2681","-113.8111","100418","958.8","America/Edmonton","2","T4R T4P T4N","1124404130"
"Kamloops","Kamloops","BC","British Columbia","50.6761","-120.3408","100046","301.7","America/Vancouver","2","V1S V2C V2B V2E","1124735582"
"Brantford","Brantford","ON","Ontario","43.1667","-80.2500","97496","1345.9","America/Toronto","3","N3P N3R N3S N3T N3V","1124737006"
"Cape Breton","Cape Breton","NS","Nova Scotia","46.1389","-60.1931","94285","38.8","America/Glace_Bay","3","B2A B1S B1V B1G B1E B1B B1C B1A B1N B1L B1M B1J B1H B1T B1R B1P B1Y B1K","1124000383"
"Lethbridge","Lethbridge","AB","Alberta","49.6942","-112.8328","92729","759.5","America/Edmonton","3","T1H T1J T1K","1124321200"
"Saint-Jean-sur-Richelieu","Saint-Jean-sur-Richelieu","QC","Quebec","45.3167","-73.2667","92394","419.7","America/Montreal","3","J2W J2Y J2X J3A J3B","1124278447"
"Clarington","Clarington","ON","Ontario","43.9350","-78.6083","92013","138.3","America/Toronto","3","L0B L0A L1E L1B L1C","1124000882"
"Pickering","Pickering","ON","Ontario","43.8354","-79.0890","91771","383.1","America/Toronto","3","L0H L0B L1X L1Y L1V L1W","1124781814"
"Nanaimo","Nanaimo","BC","British Columbia","49.1642","-123.9364","90504","918.0","America/Vancouver","3","V9R V9S V9V V9T","1124623893"
"Sudbury","Sudbury","ON","Ontario","46.4900","-81.0100","88054","49.7","America/Toronto","3","P0M P3N P3L P3B P3C P3A P3G P3Y P3P","1124539524"
"North Vancouver","North Vancouver","BC","British Columbia","49.3641","-123.0066","85935.00","534.60","America/Vancouver","3","V7P V7R V7L V7N V7H V7J V7K V7G","1124000146"
"Brossard","Brossard","QC","Quebec","45.4667","-73.4500","85721","1896.0","America/Montreal","3","J4Y J4X J4Z J4W","1124655166"
"Repentigny","Repentigny","QC","Quebec","45.7333","-73.4667","84965","1395.4","America/Montreal","3","J6A J5Z J5Y","1124379778"
"Newmarket","Newmarket","ON","Ontario","44.0500","-79.4667","84224","2190.5","America/Toronto","2","L3X L3Y","1124400266"
"Chilliwack","Chilliwack","BC","British Columbia","49.1577","-121.9509","83788","320.2","America/Vancouver","3","V4Z V2R V2P","1124531262"
"White Rock","White Rock","BC","British Columbia","49.0250","-122.8028","82368","3893.1","America/Vancouver","2","V4B","1124260555"
"Maple Ridge","Maple Ridge","BC","British Columbia","49.2167","-122.6000","82256","308.3","America/Vancouver","3","V4R V2W V2X","1124001699"
"Peterborough","Peterborough","ON","Ontario","44.3000","-78.3167","82094","1261.2","America/Toronto","3","K9K K9J K9H K9L","1124440356"
"Kawartha Lakes","Kawartha Lakes","ON","Ontario","44.3500","-78.7500","75423","24.5","America/Toronto","3","L0K L0B L0A K9V K0M","1124000852"
"Prince George","Prince George","BC","British Columbia","53.9169","-122.7494","74003","232.5","America/Vancouver","3","V2K V2N V2M V2L","1124733292"
"Sault Ste. Marie","Sault Ste. Marie","ON","Ontario","46.5333","-84.3500","73368","328.6","America/Toronto","3","P6A P6C P6B","1124810690"
"Sarnia","Sarnia","ON","Ontario","42.9994","-82.3089","71594","434.3","America/Toronto","3","N7V N7W N7S N7T N7X","1124509835"
"Wood Buffalo","Wood Buffalo","AB","Alberta","57.6042","-111.3284","71589.00","1.20","America/Edmonton","3","T9H T9J T9K T0P","1124001123"
"New Westminster","New Westminster","BC","British Columbia","49.2069","-122.9111","70996","4543.4","America/Vancouver","2","V3L V3M","1124196524"
"Châteauguay","Chateauguay","QC","Quebec","45.3800","-73.7500","70812","1278.9","America/Montreal","3","J6K J6J","1124437897"
"Saint-Jérôme","Saint-Jerome","QC","Quebec","45.7833","-74.0000","69598","756.3","America/Montreal","3","J7Y J7Z J5L","1124268324"
"Drummondville","Drummondville","QC","Quebec","45.8833","-72.4833","68601","1315.4","America/Montreal","3","J2E J2C J2B J2A J1Z","1124624283"
"Saint John","Saint John","NB","New Brunswick","45.2806","-66.0761","67575","213.8","America/Moncton","3","E2P E2L E2M E2N E2H E2J E2K","1124631364"
"Caledon","Caledon","ON","Ontario","43.8667","-79.8667","66502","96.6","America/Toronto","3","L7K L7C L7E","1124070007"
"St. Albert","St. Albert","AB","Alberta","53.6303","-113.6258","65589","1353.9","America/Edmonton","3","T8N","1124850754"
"Granby","Granby","QC","Quebec","45.4000","-72.7333","63433","415.3","America/Montreal","3","J2G J2J J2H","1124502071"
"Medicine Hat","Medicine Hat","AB","Alberta","50.0417","-110.6775","63260","564.6","America/Edmonton","3","T1A T1B T1C","1124303972"
"Grande Prairie","Grande Prairie","AB","Alberta","55.1708","-118.7947","63166","475.9","America/Edmonton","3","T8V T8X T8W","1124505481"
"St. Thomas","St. Thomas","ON","Ontario","42.7750","-81.1833","61707","1067.3","America/Toronto","3","N5R N5P","1124790209"
"Airdrie","Airdrie","AB","Alberta","51.2917","-114.0144","61581","728.2","America/Edmonton","3","T4B T4A","1124990202"
"Halton Hills","Halton Hills","ON","Ontario","43.6300","-79.9500","61161","221.4","America/Toronto","3","L7J L7G L0P L9T","1124000788"
"Saint-Hyacinthe","Saint-Hyacinthe","QC","Quebec","45.6167","-72.9500","59614","294.5","America/Montreal","3","J2T J2S J2R","1124010116"
"Lac-Brome","Lac-Brome","QC","Quebec","45.2167","-72.5167","58889","27.3","America/Montreal","3","J0E","1124000579"
"Port Coquitlam","Port Coquitlam","BC","British Columbia","49.2625","-122.7811","58612","2009.4","America/Vancouver","2","V3B V3C","1124473757"
"Fredericton","Fredericton","NB","New Brunswick","45.9636","-66.6431","58220","439.2","America/Moncton","3","E3G E3C E3B E3A","1124061289"
"Blainville","Blainville","QC","Quebec","45.6700","-73.8800","56363","1030.9","America/Montreal","3","J7B J7C J7E","1124000623"
"Aurora","Aurora","ON","Ontario","44.0000","-79.4667","55445","1112.3","America/Toronto","3","L4G","1124085034"
"Welland","Welland","ON","Ontario","42.9833","-79.2333","52293","645.3","America/Toronto","3","L3B L3C","1124745616"
"North Bay","North Bay","ON","Ontario","46.3000","-79.4500","51553","161.6","America/Toronto","3","P1A P1B P1C","1124058496"
"Beloeil","Beloeil","QC","Quebec","45.5667","-73.2000","50796","862.8","America/Montreal","3","J3G","1124469084"
"Belleville","Belleville","ON","Ontario","44.1667","-77.3833","50716","205.1","America/Toronto","3","K8N K8P K0K","1124786959"
"Mirabel","Mirabel","QC","Quebec","45.6500","-74.0833","50513","104.1","America/Montreal","3","J7J J7N","1124182375"
"Shawinigan","Shawinigan","QC","Quebec","46.5667","-72.7500","50060","68.2","America/Montreal","3","G9N G9T G9R G9P G0X","1124441118"
"Dollard-des-Ormeaux","Dollard-des-Ormeaux","QC","Quebec","45.4833","-73.8167","49637","3286.7","America/Montreal","2","H9A H9B H9G","1124902278"
"Brandon","Brandon","MB","Manitoba","49.8483","-99.9500","48859","599.1","America/Winnipeg","3","R7A R7B R7C","1124239939"
"Rimouski","Rimouski","QC","Quebec","48.4500","-68.5300","48664","143.3","America/Montreal","3","G5N G5M G5L G0L","1124433645"
"Cornwall","Cornwall","ON","Ontario","45.0275","-74.7400","46589","756.8","America/Toronto","3","K6J K6K K6H","1124938303"
"Stouffville","Stouffville","ON","Ontario","43.9667","-79.2500","45837","222.3","America/Toronto","3","L0H L3Y L4A","1124207594"
"Georgina","Georgina","ON","Ontario","44.3000","-79.4333","45418","157.8","America/Toronto","3","L0E L4P","1124000048"
"Victoriaville","Victoriaville","QC","Quebec","46.0500","-71.9667","45309","516.2","America/Montreal","3","G6R G6P G6T","1124149787"
"Vernon","Vernon","BC","British Columbia","50.2670","-119.2720","44600","417.7","America/Vancouver","3","V1T V1H","1124553338"
"Duncan","Duncan","BC","British Columbia","48.7787","-123.7079","44451","2387.1","America/Vancouver","2","V9L","1124316061"
"Saint-Eustache","Saint-Eustache","QC","Quebec","45.5700","-73.9000","44154","634.3","America/Montreal","3","J7P J7R","1124758162"
"Quinte West","Quinte West","ON","Ontario","44.1833","-77.5667","43577","88.2","America/Toronto","3","K8N K8R K8V K0K","1124001037"
"Charlottetown","Charlottetown","PE","Prince Edward Island","46.2403","-63.1347","42602","779.7","America/Halifax","3","C1C C1A C1E","1124897699"
"Mascouche","Mascouche","QC","Quebec","45.7500","-73.6000","42491","398.4","America/Montreal","3","J7K J7L","1124001580"
"West Vancouver","West Vancouver","BC","British Columbia","49.3667","-123.1667","42473","486.8","America/Vancouver","3","V7T V7V V7S","1124001824"
"Salaberry-de-Valleyfield","Salaberry-de-Valleyfield","QC","Quebec","45.2500","-74.1300","42410","395.5","America/Montreal","3","J6T J6S","1124638758"
"Rouyn-Noranda","Rouyn-Noranda","QC","Quebec","48.2333","-79.0167","42334","7.0","America/Montreal","3","J9X J9Y J0Y J0Z","1124267752"
"Timmins","Timmins","ON","Ontario","48.4667","-81.3333","41788","14.0","America/Toronto","3","P0N P4N P4R P4P","1124760634"
"Sorel-Tracy","Sorel-Tracy","QC","Quebec","46.0333","-73.1167","41629","241.1","America/Montreal","3","J3P J3R","1124000182"
"New Tecumseth","New Tecumseth","ON","Ontario","44.0833","-79.7500","41439","151.1","America/Toronto","3","L0L L0G L9R","1124001571"
"Woodstock","Woodstock","ON","Ontario","43.1306","-80.7467","40902","835.3","America/Toronto","3","N4S N4T N4V","1124758374"
"Boucherville","Boucherville","QC","Quebec","45.6000","-73.4500","40753","575.5","America/Montreal","3","J4B","1124000296"
"Mission","Mission","BC","British Columbia","49.1337","-122.3112","38833","170.6","America/Vancouver","3","V4S V2V","1124502601"
"Vaudreuil-Dorion","Vaudreuil-Dorion","QC","Quebec","45.4000","-74.0333","38117","524.1","America/Montreal","3","J7V","1124618618"
"Brant","Brant","ON","Ontario","43.1167","-80.3667","36707","43.5","America/Toronto","3","N3L N3T N3W N0E","1124000682"
"Lakeshore","Lakeshore","ON","Ontario","42.2399","-82.6511","36611.00","69.00","America/Toronto","3","N8M N8N N9K N0P N0R","1124001501"
"Innisfil","Innisfil","ON","Ontario","44.3000","-79.5833","36566","139.2","America/Toronto","3","L0L L9S","1124001408"
"Prince Albert","Prince Albert","SK","Saskatchewan","53.2000","-105.7500","35926","534.4","America/Regina","3","S6X S6V S6W","1124158154"
"Langford Station","Langford Station","BC","British Columbia","48.4506","-123.5058","35342","885.0","America/Vancouver","3","V9B V9C","1124095065"
"Bradford West Gwillimbury","Bradford West Gwillimbury","ON","Ontario","44.1333","-79.6333","35325","175.7","America/Toronto","3","L0G L3Z","1124001093"
"Campbell River","Campbell River","BC","British Columbia","50.0244","-125.2475","35138","1143.9","America/Vancouver","3","V9H V9W","1124851971"
"Spruce Grove","Spruce Grove","AB","Alberta","53.5450","-113.9008","34066","1057.9","America/Edmonton","3","T7X","1124943146"
"Moose Jaw","Moose Jaw","SK","Saskatchewan","50.3933","-105.5519","33890","710.7","America/Regina","3","S6K S6H","1124806868"
"Penticton","Penticton","BC","British Columbia","49.4911","-119.5886","33761","801.8","America/Vancouver","3","V2A","1124613898"
"Port Moody","Port Moody","BC","British Columbia","49.2831","-122.8317","33551","1295.9","America/Vancouver","3","V3H","1124252668"
"Leamington","Leamington","ON","Ontario","42.0667","-82.5833","32991","105.3","America/Toronto","3","N8H N0P","1124258797"
"East Kelowna","East Kelowna","BC","British Columbia","49.8625","-119.5833","32655","264.4","America/Vancouver","3","V1Z V4T","1124070905"
"Côte-Saint-Luc","Cote-Saint-Luc","QC","Quebec","45.4687","-73.6673","32448.00","4662.50","America/Montreal","2","H4W H4V H4X","1124563603"
"Val-d’Or","Val-d'Or","QC","Quebec","48.1000","-77.7833","31862","9.0","America/Montreal","3","J9P","1124239138"
"Owen Sound","Owen Sound","ON","Ontario","44.5667","-80.9333","31820","1311.1","America/Toronto","3","N4K","1124623613"
"Stratford","Stratford","ON","Ontario","43.3708","-80.9819","31465","1167.5","America/Toronto","3","N4Z N5A","1124676255"
"Lloydminster","Lloydminster","SK","Saskatchewan","53.2783","-110.0050","31410","742.2","America/Edmonton","3","S9V","1124051728"
"Pointe-Claire","Pointe-Claire","QC","Quebec","45.4500","-73.8167","31380","1662.0","America/Montreal","3","H9R H9S","1124470650"
"Orillia","Orillia","ON","Ontario","44.6000","-79.4167","31166","1090.3","America/Toronto","3","L3V","1124049830"
"Alma","Alma","QC","Quebec","48.5500","-71.6500","30904","158.0","America/Montreal","3","G8E G8B G8C","1124138438"
"Orangeville","Orangeville","ON","Ontario","43.9167","-80.1167","30734","69.3","America/Toronto","3","L9W","1124566061"
"Fort Erie","Fort Erie","ON","Ontario","42.9167","-79.0167","30710","184.7","America/Toronto","3","L0S L2A","1124516852"
"LaSalle","LaSalle","ON","Ontario","42.2167","-83.0667","30180","461.8","America/Toronto","3","N9J N9H N9A","1124000988"
"Sainte-Julie","Sainte-Julie","QC","Quebec","45.5833","-73.3333","30104","607.8","America/Montreal","3","J3E","1124000521"
"Leduc","Leduc","AB","Alberta","53.2594","-113.5492","29993","706.7","America/Edmonton","3","T9E","1124170853"
"North Cowichan","North Cowichan","BC","British Columbia","48.8236","-123.7192","29676","147.3","America/Vancouver","3","V0R V9L","1124000052"
"Chambly","Chambly","QC","Quebec","45.4311","-73.2873","29120.00","1158.70","America/Montreal","3","J3L","1124345124"
"Okotoks","Okotoks","AB","Alberta","50.7250","-113.9750","28881","1471.0","America/Edmonton","3","T1S","1124521470"
"Sept-Îles","Sept-Iles","QC","Quebec","50.2167","-66.3833","28534","16.1","America/Montreal","3","G4S G0G","1124406431"
"Centre Wellington","Centre Wellington","ON","Ontario","43.7000","-80.3667","28191","69.2","America/Toronto","3","N0B N1M","1124000849"
"Saint-Constant","Saint-Constant","QC","Quebec","45.3700","-73.5700","27359","478.9","America/Montreal","3","J5A","1124000054"
"Grimsby","Grimsby","ON","Ontario","43.2000","-79.5500","27314","396.3","America/Toronto","3","L3M","1124989517"
"Boisbriand","Boisbriand","QC","Quebec","45.6200","-73.8300","26884","966.5","America/Montreal","3","J7H J7E J7G","1124001940"
"Conception Bay South","Conception Bay South","NL","Newfoundland and Labrador","47.5167","-52.9833","26199","443.3","America/St_Johns","3","A1W A1X","1124000563"
"Saint-Bruno-de-Montarville","Saint-Bruno-de-Montarville","QC","Quebec","45.5333","-73.3500","26107","603.3","America/Montreal","3","J3V","1124286783"
"Sainte-Thérèse","Sainte-Therese","QC","Quebec","45.6333","-73.8500","26025","2716.1","America/Montreal","2","J7E","1124190411"
"Cochrane","Cochrane","AB","Alberta","51.1890","-114.4670","25853","866.7","America/Edmonton","3","T4C","1124952542"
"Thetford Mines","Thetford Mines","QC","Quebec","46.1000","-71.3000","25709","113.3","America/Montreal","3","G6H G6G","1124032181"
"Courtenay","Courtenay","BC","British Columbia","49.6878","-124.9944","25599","789.9","America/Vancouver","3","V9N","1124324905"
"Magog","Magog","QC","Quebec","45.2667","-72.1500","25358","175.9","America/Montreal","3","J1X","1124404849"
"Whitehorse","Whitehorse","YT","Yukon","60.7029","-135.0691","25085.00","60.20","America/Whitehorse","3","Y1A","1124348186"
"Woolwich","Woolwich","ON","Ontario","43.5667","-80.4833","25006","76.7","America/Toronto","3","N2J N3B N0B","1124000096"
"Clarence-Rockland","Clarence-Rockland","ON","Ontario","45.4833","-75.2000","24512","82.3","America/Toronto","3","K4K K0A","1124000639"
"Fort Saskatchewan","Fort Saskatchewan","AB","Alberta","53.7128","-113.2133","24149","501.3","America/Edmonton","3","T8L","1124769097"
"East Gwillimbury","East Gwillimbury","ON","Ontario","44.1333","-79.4167","23991","97.9","America/Toronto","3","L0G L9N","1124001370"
"Lincoln","Lincoln","ON","Ontario","43.1300","-79.4300","23787","146.1","America/Toronto","3","L0R L2R","1124001767"
"La Prairie","La Prairie","QC","Quebec","45.4200","-73.5000","23357","539.7","America/Montreal","3","J5R","1124956496"
"Tecumseh","Tecumseh","ON","Ontario","42.2431","-82.9256","23229","245.4","America/Toronto","3","N8N N9K N0R","1124720869"
"Mount Pearl Park","Mount Pearl Park","NL","Newfoundland and Labrador","47.5189","-52.8058","22957","1456.8","America/St_Johns","3","A1N","1124869949"
"Amherstburg","Amherstburg","ON","Ontario","42.1000","-83.0833","21936","118.2","America/Toronto","3","N9V N0R","1124696938"
"Saint-Lambert","Saint-Lambert","QC","Quebec","45.5000","-73.5167","21861","2880.6","America/Montreal","2","J4P J4S J4R","1124174363"
"Brockville","Brockville","ON","Ontario","44.5833","-75.6833","21854","1167.8","America/Toronto","3","K6V","1124286131"
"Collingwood","Collingwood","ON","Ontario","44.5000","-80.2167","21793","645.1","America/Toronto","3","L9Y","1124219884"
"Scugog","Scugog","ON","Ontario","44.0900","-78.9360","21617","45.4","America/Toronto","3","L0C L0B L9L","1124000741"
